REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
input.wav	 output.wav	 1.955	 1.597	 8000	nb
input.wav	 output.wav	 3.581	 3.664	 8000	nb
input.wav	 output.wav	 3.140	 3.031	 8000	nb
input.wav	 output.wav	 0.953	 1.150	 8000	nb
input.wav	 output.wav	 0.888	 1.137	 8000	nb
input.wav	 output.wav	 1.125	 1.192	 8000	nb
input.wav	 output.wav	 1.146	 1.198	 8000	nb
input.wav	 output.wav	 1.129	 1.193	 8000	nb
input.wav	 output.wav	 1.032	 1.168	 8000	nb
input.wav	 output.wav	 1.032	 1.168	 8000	nb
input.wav	 output.wav	 3.872	 4.019	 8000	nb
input.wav	 output.wav	 3.022	 2.855	 8000	nb
input.wav	 output.wav	 3.022	 2.855	 8000	nb
input.wav	 output.wav	 3.471	 3.514	 8000	nb
input.wav	 output.wav	 0.960	 1.152	 8000	nb
input.wav	 output.wav	 0.960	 1.152	 8000	nb
output.wav	 input.wav	 1.690	 1.422	 8000	nb
output.wav	 input.wav	 1.690	 1.422	 8000	nb
input.wav	 output.wav	 0.960	 1.152	 8000	nb
input.wav	 output.wav	 0.852	 1.130	 8000	nb
output.wav	 input.wav	 2.582	 2.237	 8000	nb
input.wav	 output.wav	 0.852	 1.130	 8000	nb
output.wav	 input.wav	 2.582	 2.237	 8000	nb
input.wav	 output.wav	 0.852	 1.130	 8000	nb
input.wav	 output.wav	 0.899	 1.139	 8000	nb
input.wav	 output.wav	 1.835	 1.511	 8000	nb
output.wav	 output.wav	 4.500	 4.549	 8000	nb
input.wav	 output.wav	 1.835	 1.511	 8000	nb
output.wav	 input.wav	 1.550	 1.349	 8000	nb
input.wav	 output.wav	 1.835	 1.511	 8000	nb
input.wav	 output.wav	 1.357	 1.267	 8000	nb
input.wav	 output.wav	 2.124	 1.737	 8000	nb
input.wav	 output.wav	 2.347	 1.959	 8000	nb
input.wav	 output.wav	 4.500	 4.549	 8000	nb
input.wav	 output.wav	 2.716	 2.415	 8000	nb
input.wav	 output.wav	 1.447	 1.303	 8000	nb
input.wav	 output.wav	 2.225	 1.832	 8000	nb
input.wav	 output.wav	 2.225	 1.832	 8000	nb
input.wav	 output.wav	 1.646	 1.398	 8000	nb
input.wav	 output.wav	 1.388	 1.279	 8000	nb
input.wav	 output.wav	 2.306	 1.915	 8000	nb
input.wav	 output.wav	 1.916	 1.568	 8000	nb
input.wav	 output.wav	 1.861	 1.529	 8000	nb
input.wav	 output.wav	 2.072	 1.691	 8000	nb
